name,lat,lng,mainCategory,icon,color,address,directionsUrl
Puig Campana,38.596417,-0.193684,"Espais naturals, zones verdes i parcs",mountain,#8ed581,,"https://www.google.com/maps/dir/?api=1&destination=38.596417,-0.193684"
Platja de La Cala de Finestrat,38.5246793,-0.1657555,"Espais naturals, zones verdes i parcs",water,#8ed581,"Av. Marina Baixa, s/n","https://www.google.com/maps/dir/?api=1&destination=38.5246793,-0.1657555"
Serra d’Orxeta,38.5634009,-0.2438487,"Espais naturals, zones verdes i parcs",mountain,#8ed581,,"https://www.google.com/maps/dir/?api=1&destination=38.5634009,-0.2438487"
Sender de Serra Cortina,38.562976,-0.183208,"Espais naturals, zones verdes i parcs",person-hiking,#8ed581,,"https://www.google.com/maps/dir/?api=1&destination=38.562976,-0.183208"
Paratge dels Castellets,38.5968169,-0.2293915,"Espais naturals, zones verdes i parcs",mountain,#8ed581,,"https://www.google.com/maps/dir/?api=1&destination=38.5968169,-0.2293915"
Font del Molí,38.578458,-0.208213,"Espais naturals, zones verdes i parcs",faucet-drip,#8ed581,,"https://www.google.com/maps/dir/?api=1&destination=38.578458,-0.208213"
Jardins de l’Ermita,38.567226,-0.210336,"Espais naturals, zones verdes i parcs",seedling,#8ed581,,"https://www.google.com/maps/dir/?api=1&destination=38.567226,-0.210336"
Zona verda del Balcó de Finestrat,38.549605,-0.200046,"Espais naturals, zones verdes i parcs",seedling,#8ed581,"Av. Sevilla, 8","https://www.google.com/maps/dir/?api=1&destination=38.549605,-0.200046"
Horts ecològics (La Penya),38.5655884,-0.2105809,"Espais naturals, zones verdes i parcs",seedling,#8ed581,Zona verda de 'La Penya' entre CV-761 i CV-759,"https://www.google.com/maps/dir/?api=1&destination=38.5655884,-0.2105809"
Parc Alcalde Miguel Llorca,38.567556,-0.214377,"Espais naturals, zones verdes i parcs",seedling,#8ed581,,"https://www.google.com/maps/dir/?api=1&destination=38.567556,-0.214377"
Parc Golf Bahía,38.549322,-0.18267,"Espais naturals, zones verdes i parcs",seedling,#8ed581,"c/ Isla Ibiza, 14","https://www.google.com/maps/dir/?api=1&destination=38.549322,-0.18267"
Parc de l’Avinguda de la Marina Baixa,38.5256388,-0.1665138,"Espais naturals, zones verdes i parcs",seedling,#8ed581,"Av. Marina Baixa, 1","https://www.google.com/maps/dir/?api=1&destination=38.5256388,-0.1665138"
Parc de la plaça de la Unió Europea,38.5681263,-0.2098529,"Espais naturals, zones verdes i parcs",seedling,#8ed581,"Pl. de la Unió Europea, s/n","https://www.google.com/maps/dir/?api=1&destination=38.5681263,-0.2098529"
Parc Carrer Serra Cortina,38.5684574,-0.2137775,"Espais naturals, zones verdes i parcs",seedling,#8ed581,"c/ Serra Cortina, 3","https://www.google.com/maps/dir/?api=1&destination=38.5684574,-0.2137775"
Parc Avinguda Benidorm,38.569183,-0.2093892,"Espais naturals, zones verdes i parcs",seedling,#8ed581,"Av. Benidorm, 24","https://www.google.com/maps/dir/?api=1&destination=38.569183,-0.2093892"
Parc Carrer Hort,38.5685984,-0.2111024,"Espais naturals, zones verdes i parcs",seedling,#8ed581,"c/ Hort, 5","https://www.google.com/maps/dir/?api=1&destination=38.5685984,-0.2111024"
Parc de Terra Marina,38.5400944,-0.1839125,"Espais naturals, zones verdes i parcs",seedling,#8ed581,"Av. Costa Blanca, 71","https://www.google.com/maps/dir/?api=1&destination=38.5400944,-0.1839125"
Pavelló Municipal,38.5650057,-0.2134671,Equipaments esportius i culturals,person-running,#f06636,"c/ Partida la Foia, 6","https://www.google.com/maps/dir/?api=1&destination=38.5650057,-0.2134671"
Piscina Municipal,38.568423,-0.2095597,Equipaments esportius i culturals,person-swimming,#f06636,"Pl. de la Unió Europea, s/n","https://www.google.com/maps/dir/?api=1&destination=38.568423,-0.2095597"
Gimnàs Municipal,38.5684021,-0.2099558,Equipaments esportius i culturals,dumbbell,#f06636,"Pl. de la Unió Europea, s/n","https://www.google.com/maps/dir/?api=1&destination=38.5684021,-0.2099558"
Gimnàs del Pavelló Municipal,38.5651914,-0.2130736,Equipaments esportius i culturals,dumbbell,#f06636,"c/ Partida la Foia, 6","https://www.google.com/maps/dir/?api=1&destination=38.5651914,-0.2130736"
Camp de Futbol,38.56375,-0.2124621,Equipaments esportius i culturals,futbol,#f06636,"c/ Partida la Foia, s/n","https://www.google.com/maps/dir/?api=1&destination=38.56375,-0.2124621"
Pumptrack,38.5635011,-0.2133861,Equipaments esportius i culturals,person-biking,#f06636,"c/ Partida la Foia, s/n","https://www.google.com/maps/dir/?api=1&destination=38.5635011,-0.2133861"
Trinquet,38.5647509,-0.2139089,Equipaments esportius i culturals,baseball,#f06636,"c/ Partida la Foia, 6","https://www.google.com/maps/dir/?api=1&destination=38.5647509,-0.2139089"
Pista de futbet de Terra Marina,38.5402143,-0.1837726,Equipaments esportius i culturals,futbol,#f06636,"Av. Costa Blanca, 71","https://www.google.com/maps/dir/?api=1&destination=38.5402143,-0.1837726"
Pistes de vòlei platja de La Cala de Finestrat,38.5249688,-0.1667644,Equipaments esportius i culturals,volleyball,#f06636,"Av. Marina Baixa, s/n","https://www.google.com/maps/dir/?api=1&destination=38.5249688,-0.1667644"
Casa de Cultura,38.5683251,-0.2105414,Equipaments esportius i culturals,masks-theater,#f06636,"c/ Fonteta, 14","https://www.google.com/maps/dir/?api=1&destination=38.5683251,-0.2105414"
Biblioteca Municipal,38.5672264,-0.2112501,Equipaments esportius i culturals,book-open,#f06636,"c/ Sant Josep, 13","https://www.google.com/maps/dir/?api=1&destination=38.5672264,-0.2112501"
Museu arqueològic i etnològic,38.567009,-0.214905,Equipaments esportius i culturals,landmark,#f06636,"c/ Font de Carré, s/n","https://www.google.com/maps/dir/?api=1&destination=38.567009,-0.214905"
Centre Juvenil,38.568719,-0.210345,Equipaments esportius i culturals,user-group,#f06636,"c/ Fonteta, 36","https://www.google.com/maps/dir/?api=1&destination=38.568719,-0.210345"
Amfiteatre del Castell,38.5668631,-0.2111616,Equipaments esportius i culturals,landmark-dome,#f06636,,"https://www.google.com/maps/dir/?api=1&destination=38.5668631,-0.2111616"
Centre social de Terra Marina,38.5399939,-0.1839097,Equipaments esportius i culturals,people-group,#f06636,"Av. Costa Blanca, 71","https://www.google.com/maps/dir/?api=1&destination=38.5399939,-0.1839097"
Plaça de l’Àmfora,38.52437,-0.1652,Equipaments esportius i culturals,people-group,#f06636,,"https://www.google.com/maps/dir/?api=1&destination=38.52437,-0.1652"
Associació de Dones de Finestrat,38.5677513,-0.2112585,Associacions i iniciatives locals,person-dress,#487bb6,"c/ Nou, 19","https://www.google.com/maps/dir/?api=1&destination=38.5677513,-0.2112585"
Associació de Pensionistes i Jubilats,38.5683721,-0.2105003,Associacions i iniciatives locals,person-cane,#487bb6,"c/ Fonteta, 14","https://www.google.com/maps/dir/?api=1&destination=38.5683721,-0.2105003"
Centre Excursionista El Portell,38.5675487,-0.2114707,Associacions i iniciatives locals,person-hiking,#487bb6,"c/ Nou, 5","https://www.google.com/maps/dir/?api=1&destination=38.5675487,-0.2114707"
Agrupament d’Scouts,38.538184,-0.173284,Associacions i iniciatives locals,campground,#487bb6,"Av. Federico García Lorca, 16","https://www.google.com/maps/dir/?api=1&destination=38.538184,-0.173284"
Escola del Sol,38.5680359,-0.2116918,Associacions i iniciatives locals,sun,#487bb6,"c/ Sant Vicent, 16","https://www.google.com/maps/dir/?api=1&destination=38.5680359,-0.2116918"
Puig Campana Art,38.5380092,-0.1731689,Associacions i iniciatives locals,palette,#487bb6,"Av. Picasso, 18","https://www.google.com/maps/dir/?api=1&destination=38.5380092,-0.1731689"
Artearte,38.5683009,-0.210511,Associacions i iniciatives locals,palette,#487bb6,"c/ Fonteta, 14","https://www.google.com/maps/dir/?api=1&destination=38.5683009,-0.210511"
Agrupació Coral de Finestrat,38.5683438,-0.2104735,Associacions i iniciatives locals,music,#487bb6,"c/ Fonteta, 14","https://www.google.com/maps/dir/?api=1&destination=38.5683438,-0.2104735"
Rondalla Cordes i Veus Font del Molí,38.5682198,-0.2105259,Associacions i iniciatives locals,music,#487bb6,"c/ Fonteta, 12N","https://www.google.com/maps/dir/?api=1&destination=38.5682198,-0.2105259"
Centre Musical Puig Campana,38.5683637,-0.2105419,Associacions i iniciatives locals,music,#487bb6,"c/ Fonteta, 14","https://www.google.com/maps/dir/?api=1&destination=38.5683637,-0.2105419"
Club de Pilota Finestrat,38.5653541,-0.2135772,Associacions i iniciatives locals,baseball,#487bb6,Àrea esportiva Foia,"https://www.google.com/maps/dir/?api=1&destination=38.5653541,-0.2135772"
Unió Esportiva Finestrat,38.5642918,-0.2129027,Associacions i iniciatives locals,futbol,#487bb6,Àrea Esportiva Foia,"https://www.google.com/maps/dir/?api=1&destination=38.5642918,-0.2129027"
Club voleibol Finestrat,38.5646589,-0.2135035,Associacions i iniciatives locals,volleyball,#487bb6,Àrea Esportiva Foia,"https://www.google.com/maps/dir/?api=1&destination=38.5646589,-0.2135035"
Escuela Balonmano Finestrat,38.5646254,-0.2131106,Associacions i iniciatives locals,basketball,#487bb6,Àrea esportiva Foia,"https://www.google.com/maps/dir/?api=1&destination=38.5646254,-0.2131106"
Club Taekwondo Finestrat,38.5681336,-0.2101786,Associacions i iniciatives locals,hand-fist,#487bb6,Pl. de la Unió Europea,"https://www.google.com/maps/dir/?api=1&destination=38.5681336,-0.2101786"
Protecció Civil,38.56703,-0.2122392,Associacions i iniciatives locals,shield-heart,#487bb6,"Pl. de la Torreta, 9","https://www.google.com/maps/dir/?api=1&destination=38.56703,-0.2122392"
Consultori Auxiliar (nucli),38.5683254,-0.2134666,Serveis sociosanitaris i socials,house-medical,#e9d500,"c/ Serra Cortina, 5","https://www.google.com/maps/dir/?api=1&destination=38.5683254,-0.2134666"
Consultori Auxiliar Cala,38.531635,-0.168294,Serveis sociosanitaris i socials,house-medical,#e9d500,"Av. Marina Baixa, 27","https://www.google.com/maps/dir/?api=1&destination=38.531635,-0.168294"
Farmàcia del Casc Històric,38.568015,-0.21088,Serveis sociosanitaris i socials,mortar-pestle,#e9d500,"c/ Nou, 32","https://www.google.com/maps/dir/?api=1&destination=38.568015,-0.21088"
Farmàcia de La Cala,38.526304,-0.1662282,Serveis sociosanitaris i socials,mortar-pestle,#e9d500,"Av. Marina Baixa, 26","https://www.google.com/maps/dir/?api=1&destination=38.526304,-0.1662282"
Centre Social de la Cala,38.5269533,-0.1661256,Serveis sociosanitaris i socials,people-group,#e9d500,"Av. Marina Baixa, 3","https://www.google.com/maps/dir/?api=1&destination=38.5269533,-0.1661256"
Llar del Pensionista,38.5683084,-0.210471,Serveis sociosanitaris i socials,person-cane,#e9d500,"c/ Fonteta, 14","https://www.google.com/maps/dir/?api=1&destination=38.5683084,-0.210471"
Serveis Socials municipals,38.5672978,-0.2120419,Serveis sociosanitaris i socials,hand-holding-heart,#e9d500,"Pl. de l’Ajuntament, 1","https://www.google.com/maps/dir/?api=1&destination=38.5672978,-0.2120419"
